,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
12739,mobile,ended,73.0,,1h-2h
12740,mobile,canceled,,,>9h
12741,connect,ended,-81.0,,retour en avance
12742,mobile,ended,41.0,,31m-45m
12743,mobile,ended,5.0,,1m-15m
12744,mobile,ended,-35.0,,retour en avance
12745,mobile,ended,162.0,,2h-3h
12746,mobile,canceled,,,>9h
12747,connect,ended,-129.0,,retour en avance
12748,connect,ended,94.0,,1h-2h
12749,connect,ended,28.0,,16m-30m
12750,mobile,ended,35.0,,31m-45m
12751,connect,ended,-61.0,510.0,retour en avance
12752,mobile,canceled,,,>9h
12753,mobile,ended,166.0,,2h-3h
12754,mobile,ended,-172.0,0.0,retour en avance
12755,connect,ended,-542.0,,retour en avance
12756,mobile,ended,-37.0,,retour en avance
12757,mobile,ended,-7.0,,retour en avance
12758,mobile,ended,101.0,,1h-2h
12759,mobile,ended,,,>9h
12760,mobile,ended,,,>9h
12761,mobile,ended,77.0,,1h-2h
12762,connect,ended,-42.0,,retour en avance
12763,connect,ended,-20.0,,retour en avance
12764,mobile,ended,44.0,,31m-45m
12765,mobile,canceled,,,>9h
12766,connect,ended,-110.0,,retour en avance
12767,mobile,ended,-33.0,,retour en avance
12768,connect,ended,41.0,,31m-45m
12769,mobile,ended,-19.0,,retour en avance
12770,mobile,ended,38.0,,31m-45m
12771,mobile,canceled,,,>9h
12772,mobile,ended,-114.0,,retour en avance
12773,mobile,ended,-2.0,,retour en avance
12774,mobile,ended,-115.0,660.0,retour en avance
12775,connect,ended,122.0,420.0,2h-3h
12776,mobile,canceled,,,>9h
12777,connect,ended,-1.0,420.0,retour en avance
12778,mobile,ended,370.0,,6h-7h
12779,mobile,ended,-86.0,,retour en avance
12780,mobile,ended,75.0,,1h-2h
12781,mobile,ended,11.0,,1m-15m
12782,mobile,ended,63.0,,1h-2h
12783,connect,ended,-29.0,,retour en avance
12784,mobile,ended,27.0,,16m-30m
12785,mobile,ended,,,>9h
12786,mobile,ended,245.0,,4h-5h
12787,mobile,ended,4.0,,1m-15m
12788,mobile,ended,64.0,,1h-2h
12789,mobile,ended,30.0,,16m-30m
12790,mobile,ended,,,>9h
12791,connect,ended,-150.0,,retour en avance
12792,mobile,ended,262.0,,4h-5h
12793,mobile,ended,,,>9h
12794,connect,ended,-11.0,,retour en avance
12795,mobile,ended,-56.0,,retour en avance
12796,mobile,ended,45.0,,31m-45m
12797,mobile,canceled,,,>9h
12798,mobile,ended,154.0,,2h-3h
12799,mobile,ended,43.0,,31m-45m
12800,mobile,ended,8.0,,1m-15m
12801,connect,ended,62.0,60.0,1h-2h
12802,mobile,ended,,,>9h
12803,mobile,ended,23.0,,16m-30m
12804,mobile,ended,28.0,,16m-30m
12805,mobile,ended,-30.0,,retour en avance
12806,mobile,ended,-2.0,,retour en avance
12807,mobile,ended,131.0,,2h-3h
12808,connect,ended,-322.0,,retour en avance
12809,mobile,ended,25.0,,16m-30m
12810,mobile,ended,23.0,,16m-30m
12811,mobile,ended,2.0,,1m-15m
12812,connect,ended,39.0,,31m-45m
12813,mobile,ended,-14.0,,retour en avance
12814,mobile,ended,210.0,,3h-4h
12815,connect,ended,-66.0,,retour en avance
12816,mobile,ended,-83.0,,retour en avance
12817,connect,ended,-96.0,,retour en avance
12818,mobile,ended,-1.0,,retour en avance
12819,mobile,ended,,,>9h
12820,mobile,ended,26.0,,16m-30m
12821,mobile,ended,73.0,,1h-2h
12822,mobile,ended,-1.0,,retour en avance
12823,mobile,ended,68.0,,1h-2h
12824,mobile,ended,301.0,,5h-6h
12825,mobile,canceled,,,>9h
12826,mobile,ended,-26.0,,retour en avance
12827,mobile,ended,2893.0,,>9h
12828,connect,ended,2.0,300.0,1m-15m
12829,connect,ended,-24.0,30.0,retour en avance
12830,mobile,canceled,,,>9h
12831,connect,canceled,,,>9h
12832,mobile,ended,157.0,,2h-3h
12833,mobile,ended,91.0,,1h-2h
12834,mobile,ended,-284.0,,retour en avance
12835,mobile,ended,-20.0,,retour en avance
12836,connect,ended,-159.0,,retour en avance
12837,mobile,ended,,,>9h
12838,mobile,ended,,,>9h
12839,mobile,ended,-183.0,,retour en avance
12840,mobile,ended,-46.0,,retour en avance
12841,mobile,ended,-267.0,,retour en avance
12842,mobile,ended,-806.0,,retour en avance
12843,mobile,ended,,,>9h
12844,mobile,canceled,,,>9h
12845,mobile,ended,-553.0,,retour en avance
12846,mobile,ended,,,>9h
12847,mobile,ended,266.0,,4h-5h
12848,connect,ended,-61.0,,retour en avance
12849,mobile,ended,144.0,,2h-3h
12850,mobile,ended,1395.0,,>9h
12851,mobile,ended,32.0,,31m-45m
12852,mobile,ended,22.0,,16m-30m
12853,connect,canceled,,30.0,>9h
12854,mobile,ended,24.0,,16m-30m
12855,mobile,ended,11.0,,1m-15m
12856,connect,ended,146.0,,2h-3h
12857,mobile,ended,,,>9h
12858,mobile,ended,,,>9h
12859,connect,canceled,,,>9h
12860,connect,ended,-60.0,,retour en avance
12861,mobile,ended,-6.0,,retour en avance
12862,mobile,ended,-320.0,,retour en avance
12863,mobile,canceled,,,>9h
12864,mobile,ended,-10.0,390.0,retour en avance
12865,mobile,ended,158.0,,2h-3h
12866,mobile,canceled,,,>9h
12867,connect,ended,5.0,,1m-15m
12868,connect,ended,56.0,,46m-60m
12869,mobile,canceled,,,>9h
12870,mobile,ended,17.0,,16m-30m
12871,mobile,ended,55.0,,46m-60m
12872,mobile,ended,,,>9h
12873,mobile,ended,51.0,,46m-60m
12874,mobile,ended,,,>9h
12875,mobile,ended,-174.0,,retour en avance
12876,mobile,ended,-2.0,,retour en avance
12877,connect,ended,-555.0,150.0,retour en avance
12878,connect,ended,-73.0,,retour en avance
12879,mobile,ended,85.0,,1h-2h
12880,mobile,ended,129.0,,2h-3h
12881,mobile,ended,4.0,,1m-15m
12882,connect,ended,12.0,,1m-15m
12883,mobile,ended,25.0,,16m-30m
12884,mobile,ended,26.0,,16m-30m
12885,mobile,ended,51.0,,46m-60m
12886,connect,ended,-17.0,,retour en avance
12887,connect,canceled,,360.0,>9h
12888,mobile,ended,6.0,,1m-15m
12889,mobile,ended,-22.0,,retour en avance
12890,connect,ended,-57.0,,retour en avance
12891,mobile,canceled,,,>9h
12892,mobile,ended,-14.0,,retour en avance
12893,connect,ended,-71.0,,retour en avance
12894,mobile,ended,-6.0,,retour en avance
12895,mobile,ended,3.0,,1m-15m
12896,mobile,canceled,,,>9h
12897,mobile,ended,13.0,,1m-15m
12898,connect,ended,-82.0,,retour en avance
12899,mobile,ended,-56.0,,retour en avance
12900,connect,canceled,,,>9h
12901,mobile,ended,,,>9h
12902,mobile,ended,8.0,,1m-15m
12903,mobile,canceled,,,>9h
12904,mobile,ended,-17.0,,retour en avance
12905,mobile,ended,4.0,,1m-15m
12906,mobile,ended,-54.0,,retour en avance
12907,mobile,ended,5.0,,1m-15m
12908,mobile,canceled,,,>9h
12909,mobile,ended,2.0,,1m-15m
12910,mobile,ended,,,>9h
12911,connect,ended,-64.0,,retour en avance
12912,mobile,ended,1167.0,,>9h
12913,mobile,ended,-12.0,,retour en avance
12914,mobile,canceled,,,>9h
12915,mobile,ended,128.0,,2h-3h
12916,mobile,ended,307.0,,5h-6h
12917,mobile,canceled,,,>9h
12918,mobile,canceled,,,>9h
12919,mobile,ended,-185.0,,retour en avance
12920,mobile,ended,-197.0,,retour en avance
12921,connect,canceled,,,>9h
12922,mobile,ended,61.0,,1h-2h
12923,mobile,ended,11.0,,1m-15m
12924,mobile,canceled,,,>9h
12925,mobile,ended,-109.0,,retour en avance
12926,connect,ended,46.0,0.0,46m-60m
12927,mobile,ended,-153.0,,retour en avance
12928,mobile,canceled,,,>9h
12929,mobile,ended,12.0,,1m-15m
12930,mobile,ended,-2878.0,,retour en avance
12931,mobile,ended,12.0,,1m-15m
12932,mobile,ended,,,>9h
12933,mobile,ended,14.0,,1m-15m
12934,mobile,canceled,,,>9h
12935,mobile,ended,45.0,,31m-45m
12936,mobile,ended,5.0,,1m-15m
12937,mobile,canceled,,,>9h
12938,connect,canceled,,,>9h
12939,connect,canceled,,,>9h
12940,connect,ended,116.0,,1h-2h
12941,connect,canceled,,,>9h
12942,mobile,ended,278.0,,4h-5h
12943,mobile,ended,,,>9h
12944,mobile,ended,135.0,,2h-3h
12945,mobile,ended,9.0,,1m-15m
12946,mobile,ended,4488.0,,>9h
12947,mobile,ended,185.0,,3h-4h
12948,mobile,ended,22.0,,16m-30m
12949,mobile,ended,10.0,,1m-15m
12950,mobile,canceled,,,>9h
12951,mobile,ended,10.0,,1m-15m
12952,connect,canceled,,,>9h
12953,mobile,canceled,,,>9h
12954,mobile,ended,2.0,,1m-15m
12955,connect,ended,-9.0,,retour en avance
12956,mobile,ended,44.0,,31m-45m
12957,mobile,ended,-173.0,,retour en avance
12958,mobile,canceled,,,>9h
12959,mobile,ended,184.0,240.0,3h-4h
12960,mobile,ended,80.0,,1h-2h
12961,mobile,ended,-132.0,,retour en avance
12962,connect,ended,77.0,,1h-2h
12963,mobile,ended,-130.0,,retour en avance
12964,mobile,ended,-986.0,630.0,retour en avance
12965,connect,ended,-12.0,,retour en avance
12966,mobile,canceled,,,>9h
12967,mobile,ended,154.0,,2h-3h
12968,mobile,ended,-7.0,,retour en avance
12969,mobile,ended,-27.0,660.0,retour en avance
12970,mobile,ended,74.0,,1h-2h
12971,mobile,ended,49.0,,46m-60m
12972,mobile,ended,10.0,,1m-15m
12973,mobile,ended,,,>9h
12974,connect,canceled,,0.0,>9h
12975,mobile,canceled,,,>9h
12976,mobile,ended,-75.0,,retour en avance
12977,mobile,ended,,,>9h
12978,mobile,ended,-125.0,570.0,retour en avance
12979,mobile,ended,20.0,,16m-30m
12980,mobile,ended,4.0,,1m-15m
12981,mobile,ended,75.0,,1h-2h
12982,mobile,ended,-687.0,,retour en avance
12983,mobile,ended,79.0,,1h-2h
12984,mobile,ended,20.0,,16m-30m
12985,mobile,canceled,,,>9h
12986,connect,ended,-25.0,,retour en avance
12987,mobile,ended,56.0,,46m-60m
12988,connect,canceled,,,>9h
12989,connect,ended,-6.0,,retour en avance
12990,mobile,ended,65.0,,1h-2h
12991,mobile,canceled,,,>9h
12992,mobile,ended,,,>9h
12993,connect,ended,5.0,,1m-15m
12994,mobile,ended,-18.0,,retour en avance
12995,connect,canceled,,,>9h
12996,connect,canceled,,,>9h
12997,mobile,ended,60.0,120.0,46m-60m
12998,mobile,canceled,,,>9h
12999,connect,ended,13.0,,1m-15m
13000,mobile,ended,,,>9h
13001,mobile,ended,-845.0,,retour en avance
13002,mobile,canceled,,,>9h
13003,mobile,ended,-60.0,,retour en avance
13004,connect,ended,36.0,,31m-45m
13005,mobile,canceled,,,>9h
13006,mobile,ended,-8.0,,retour en avance
13007,connect,ended,-10.0,,retour en avance
13008,mobile,ended,7.0,,1m-15m
13009,connect,ended,-30.0,570.0,retour en avance
13010,mobile,ended,34.0,,31m-45m
13011,connect,ended,-210.0,,retour en avance
13012,mobile,ended,417.0,,6h-7h
13013,mobile,canceled,,,>9h
13014,connect,ended,-58.0,90.0,retour en avance
13015,connect,ended,-20.0,,retour en avance
13016,mobile,ended,7.0,,1m-15m
13017,mobile,canceled,,,>9h
13018,mobile,ended,9.0,,1m-15m
13019,mobile,ended,-52.0,,retour en avance
13020,mobile,ended,15.0,,1m-15m
13021,connect,canceled,,,>9h
13022,connect,ended,-68.0,,retour en avance
13023,mobile,ended,1800.0,720.0,>9h
13024,mobile,ended,-14.0,120.0,retour en avance
13025,mobile,ended,8.0,,1m-15m
13026,mobile,ended,,,>9h
13027,mobile,ended,-171.0,300.0,retour en avance
13028,mobile,ended,13.0,,1m-15m
13029,mobile,ended,132.0,,2h-3h
13030,mobile,ended,28.0,,16m-30m
13031,mobile,ended,19.0,,16m-30m
13032,mobile,ended,23.0,,16m-30m
13033,mobile,ended,114.0,,1h-2h
13034,mobile,ended,-35.0,,retour en avance
13035,mobile,ended,17.0,0.0,16m-30m
13036,mobile,ended,26.0,,16m-30m
13037,connect,ended,-10.0,,retour en avance
13038,mobile,ended,374.0,,6h-7h
13039,connect,canceled,,240.0,>9h
13040,mobile,ended,-38.0,,retour en avance
13041,mobile,canceled,,,>9h
13042,mobile,ended,,,>9h
13043,mobile,ended,58.0,660.0,46m-60m
13044,mobile,ended,21.0,,16m-30m
13045,connect,ended,19.0,,16m-30m
13046,connect,ended,-71.0,,retour en avance
13047,connect,ended,-397.0,60.0,retour en avance
13048,mobile,canceled,,,>9h
13049,mobile,canceled,,,>9h
13050,mobile,ended,121.0,,2h-3h
13051,mobile,ended,7.0,150.0,1m-15m
13052,mobile,ended,-207.0,,retour en avance
13053,mobile,ended,-34.0,,retour en avance
13054,mobile,ended,133.0,,2h-3h
13055,mobile,ended,136.0,,2h-3h
13056,mobile,ended,-33.0,120.0,retour en avance
13057,mobile,ended,21.0,690.0,16m-30m
13058,mobile,ended,118.0,,1h-2h
13059,mobile,ended,48.0,,46m-60m
13060,mobile,ended,-73.0,,retour en avance
13061,mobile,ended,78.0,,1h-2h
13062,mobile,canceled,,,>9h
13063,mobile,canceled,,,>9h
13064,mobile,ended,275.0,,4h-5h
13065,mobile,canceled,,,>9h
13066,mobile,ended,727.0,,>9h
13067,connect,ended,-28.0,,retour en avance
13068,connect,canceled,,,>9h
13069,mobile,ended,62.0,,1h-2h
13070,connect,canceled,,,>9h
13071,mobile,canceled,,0.0,>9h
13072,mobile,ended,-40.0,,retour en avance
13073,mobile,canceled,,90.0,>9h
13074,mobile,ended,12.0,,1m-15m
13075,mobile,ended,-56.0,,retour en avance
13076,mobile,ended,89.0,,1h-2h
13077,mobile,ended,22.0,,16m-30m
13078,connect,canceled,,,>9h
13079,mobile,ended,,,>9h
13080,mobile,ended,880.0,,>9h
13081,mobile,canceled,,,>9h
13082,mobile,ended,1005.0,,>9h
13083,connect,canceled,,,>9h
13084,mobile,ended,115.0,,1h-2h
13085,mobile,ended,-6.0,,retour en avance
13086,mobile,ended,,,>9h
13087,mobile,ended,-30.0,,retour en avance
13088,mobile,ended,-18.0,,retour en avance
13089,mobile,ended,7.0,,1m-15m
13090,mobile,canceled,,,>9h
13091,mobile,ended,23.0,,16m-30m
13092,mobile,ended,133.0,,2h-3h
13093,mobile,ended,-42.0,,retour en avance
13094,mobile,canceled,,,>9h
13095,mobile,ended,-4.0,,retour en avance
13096,mobile,canceled,,,>9h
13097,connect,ended,-33.0,30.0,retour en avance
13098,connect,ended,-3.0,,retour en avance
13099,mobile,canceled,,,>9h
13100,mobile,ended,6.0,,1m-15m
13101,mobile,ended,,,>9h
13102,connect,ended,3.0,,1m-15m
13103,mobile,ended,-609.0,,retour en avance
13104,mobile,ended,-22.0,,retour en avance
13105,mobile,ended,73.0,,1h-2h
13106,mobile,ended,189.0,,3h-4h
13107,mobile,canceled,,600.0,>9h
13108,mobile,ended,2.0,,1m-15m
13109,mobile,ended,-201.0,,retour en avance
13110,mobile,ended,-71.0,,retour en avance
13111,connect,ended,29.0,,16m-30m
13112,mobile,canceled,,,>9h
13113,mobile,canceled,,,>9h
13114,mobile,ended,99.0,,1h-2h
13115,mobile,canceled,,,>9h
13116,mobile,ended,285.0,,4h-5h
13117,mobile,ended,-54.0,,retour en avance
13118,connect,ended,242.0,,4h-5h
13119,connect,ended,60.0,,46m-60m
13120,mobile,ended,3.0,,1m-15m
13121,mobile,ended,-1170.0,,retour en avance
13122,connect,ended,-168.0,,retour en avance
13123,mobile,ended,-110.0,,retour en avance
13124,connect,ended,-503.0,,retour en avance
13125,mobile,ended,39.0,,31m-45m
13126,mobile,ended,,,>9h
13127,mobile,ended,,,>9h
13128,connect,ended,31.0,,31m-45m
13129,mobile,canceled,,,>9h
13130,connect,ended,-55.0,,retour en avance
13131,mobile,ended,-54.0,,retour en avance
13132,mobile,ended,234.0,,3h-4h
13133,mobile,ended,-17.0,,retour en avance
13134,mobile,ended,5.0,,1m-15m
13135,mobile,ended,-4.0,,retour en avance
13136,mobile,ended,60.0,,46m-60m
13137,mobile,ended,82.0,,1h-2h
13138,connect,ended,82.0,,1h-2h
13139,mobile,ended,40.0,60.0,31m-45m
13140,mobile,ended,11.0,,1m-15m
13141,mobile,canceled,,,>9h
13142,connect,ended,22.0,30.0,16m-30m
13143,connect,ended,-3.0,,retour en avance
13144,mobile,ended,-53.0,,retour en avance
13145,mobile,ended,-13.0,,retour en avance
13146,mobile,ended,-222.0,,retour en avance
13147,connect,ended,-64.0,300.0,retour en avance
13148,connect,ended,204.0,,3h-4h
13149,mobile,canceled,,,>9h
13150,mobile,canceled,,,>9h
13151,connect,ended,-160.0,,retour en avance
13152,mobile,ended,214.0,,3h-4h
13153,connect,ended,-59.0,,retour en avance
13154,mobile,ended,860.0,,>9h
13155,mobile,ended,-101.0,,retour en avance
13156,mobile,canceled,,120.0,>9h
13157,connect,ended,13.0,0.0,1m-15m
13158,mobile,ended,24.0,,16m-30m
13159,mobile,ended,16.0,,16m-30m
13160,connect,ended,16.0,,16m-30m
13161,mobile,ended,79.0,,1h-2h
13162,mobile,ended,211.0,,3h-4h
13163,connect,ended,-473.0,,retour en avance
13164,connect,ended,170.0,,2h-3h
13165,mobile,ended,-120.0,,retour en avance
13166,mobile,ended,832.0,,>9h
13167,mobile,ended,241.0,,4h-5h
13168,mobile,ended,1171.0,,>9h
13169,mobile,canceled,,,>9h
13170,mobile,ended,204.0,,3h-4h
13171,connect,ended,32.0,,31m-45m
13172,mobile,ended,-13.0,,retour en avance
13173,mobile,ended,-10.0,,retour en avance
13174,connect,ended,-91.0,,retour en avance
13175,mobile,ended,13.0,,1m-15m
13176,mobile,ended,46.0,480.0,46m-60m
13177,mobile,ended,-74.0,,retour en avance
13178,mobile,canceled,,600.0,>9h
13179,mobile,ended,101.0,,1h-2h
13180,mobile,ended,-137.0,,retour en avance
13181,mobile,canceled,,,>9h
13182,mobile,ended,57.0,,46m-60m
13183,mobile,ended,283.0,,4h-5h
13184,mobile,ended,53.0,,46m-60m
13185,connect,ended,90.0,,1h-2h
13186,mobile,ended,851.0,,>9h
13187,mobile,ended,37.0,,31m-45m
13188,mobile,ended,-5.0,,retour en avance
13189,mobile,ended,706.0,,>9h
13190,mobile,ended,-102.0,630.0,retour en avance
13191,mobile,ended,-46.0,480.0,retour en avance
13192,mobile,ended,27.0,,16m-30m
13193,connect,ended,-760.0,180.0,retour en avance
13194,connect,ended,-493.0,,retour en avance
13195,mobile,canceled,,,>9h
13196,mobile,ended,45.0,30.0,31m-45m
13197,mobile,ended,-2.0,,retour en avance
13198,connect,ended,-141.0,,retour en avance
13199,mobile,ended,,720.0,>9h
13200,connect,ended,-27.0,,retour en avance
13201,mobile,ended,-17.0,,retour en avance
13202,mobile,ended,-16.0,,retour en avance
13203,mobile,ended,,,>9h
13204,mobile,ended,5960.0,,>9h
13205,mobile,ended,1027.0,,>9h
13206,connect,ended,-424.0,,retour en avance
13207,mobile,canceled,,,>9h
13208,mobile,ended,,,>9h
13209,connect,ended,,,>9h
13210,mobile,ended,-30.0,,retour en avance
13211,mobile,ended,-44.0,,retour en avance
13212,mobile,canceled,,,>9h
13213,mobile,canceled,,,>9h
13214,mobile,ended,47.0,,46m-60m
13215,mobile,ended,-5.0,,retour en avance
13216,connect,ended,-60.0,600.0,retour en avance
13217,mobile,ended,25.0,,16m-30m
13218,mobile,canceled,,,>9h
13219,mobile,ended,-2.0,,retour en avance
13220,mobile,ended,77.0,,1h-2h
13221,mobile,ended,2.0,,1m-15m
13222,mobile,ended,-1.0,,retour en avance
13223,connect,ended,-5.0,,retour en avance
13224,mobile,ended,-131.0,,retour en avance
13225,mobile,ended,844.0,,>9h
13226,mobile,canceled,,,>9h
13227,connect,ended,50.0,,46m-60m
13228,mobile,ended,218.0,180.0,3h-4h
13229,connect,ended,-2.0,720.0,retour en avance
13230,connect,canceled,,,>9h
13231,connect,ended,-35.0,,retour en avance
13232,mobile,ended,279.0,,4h-5h
13233,mobile,ended,45.0,,31m-45m
13234,mobile,ended,56.0,,46m-60m
13235,mobile,ended,-226.0,,retour en avance
13236,mobile,ended,,,>9h
13237,connect,ended,10.0,,1m-15m
13238,mobile,ended,-39.0,,retour en avance
13239,connect,canceled,,,>9h
13240,mobile,ended,-73.0,,retour en avance
13241,mobile,ended,80.0,,1h-2h
13242,mobile,ended,,,>9h
13243,mobile,ended,9.0,,1m-15m
13244,mobile,ended,,,>9h
13245,mobile,ended,577.0,,>9h
13246,connect,ended,-1.0,660.0,retour en avance
13247,mobile,canceled,,,>9h
13248,mobile,ended,-145.0,,retour en avance
13249,mobile,ended,22.0,,16m-30m
13250,mobile,ended,4.0,,1m-15m
13251,mobile,ended,15.0,,1m-15m
13252,mobile,ended,66.0,,1h-2h
13253,mobile,canceled,,,>9h
13254,mobile,ended,-631.0,,retour en avance
13255,mobile,ended,,,>9h
13256,mobile,ended,31.0,,31m-45m
13257,mobile,canceled,,390.0,>9h
13258,mobile,ended,74.0,0.0,1h-2h
13259,mobile,ended,-21.0,,retour en avance
13260,mobile,ended,90.0,,1h-2h
13261,mobile,ended,26.0,,16m-30m
13262,connect,canceled,,240.0,>9h
13263,mobile,ended,43.0,,31m-45m
13264,mobile,canceled,,330.0,>9h
13265,mobile,ended,-2.0,,retour en avance
13266,mobile,ended,38.0,,31m-45m
13267,mobile,ended,-17.0,,retour en avance
13268,mobile,ended,11.0,,1m-15m
13269,mobile,ended,791.0,,>9h
13270,mobile,ended,,,>9h
13271,mobile,ended,157.0,,2h-3h
13272,mobile,ended,10.0,,1m-15m
13273,mobile,ended,-67.0,,retour en avance
13274,mobile,canceled,,,>9h
13275,mobile,ended,121.0,,2h-3h
13276,mobile,canceled,,,>9h
13277,mobile,ended,559.0,,>9h
13278,connect,ended,,,>9h
13279,mobile,ended,24.0,120.0,16m-30m
13280,mobile,ended,,,>9h
13281,mobile,ended,72.0,,1h-2h
13282,mobile,canceled,,,>9h
13283,connect,ended,207.0,,3h-4h
13284,mobile,ended,-23.0,,retour en avance
13285,mobile,ended,-81.0,,retour en avance
13286,mobile,ended,188.0,,3h-4h
13287,connect,ended,-113.0,,retour en avance
13288,mobile,ended,-23.0,,retour en avance
13289,mobile,ended,308.0,,5h-6h
13290,mobile,ended,9.0,,1m-15m
13291,mobile,ended,-64.0,120.0,retour en avance
13292,connect,ended,-51.0,,retour en avance
13293,connect,ended,-24.0,,retour en avance
13294,mobile,ended,6.0,,1m-15m
13295,mobile,ended,-37.0,,retour en avance
13296,mobile,ended,,,>9h
13297,mobile,ended,99.0,,1h-2h
13298,connect,ended,-41.0,210.0,retour en avance
13299,connect,ended,183.0,,3h-4h
13300,connect,canceled,,,>9h
13301,mobile,ended,-35.0,,retour en avance
13302,connect,canceled,,,>9h
13303,connect,ended,-14.0,,retour en avance
13304,connect,ended,98.0,,1h-2h
13305,connect,ended,-193.0,,retour en avance
13306,mobile,ended,-13.0,,retour en avance
13307,mobile,ended,103.0,,1h-2h
13308,mobile,canceled,,,>9h
13309,mobile,ended,,,>9h
13310,mobile,ended,47.0,,46m-60m
13311,mobile,ended,-21.0,,retour en avance
13312,mobile,ended,44.0,,31m-45m
13313,connect,ended,-105.0,240.0,retour en avance
13314,mobile,ended,-2.0,,retour en avance
13315,mobile,ended,31.0,,31m-45m
13316,mobile,ended,201.0,,3h-4h
13317,mobile,ended,188.0,,3h-4h
13318,mobile,ended,80.0,,1h-2h
13319,mobile,ended,54.0,,46m-60m
13320,mobile,canceled,,,>9h
13321,mobile,ended,-56.0,,retour en avance
13322,connect,ended,173.0,,2h-3h
13323,mobile,ended,75.0,,1h-2h
13324,mobile,ended,28.0,,16m-30m
13325,mobile,ended,158.0,,2h-3h
13326,mobile,ended,31.0,,31m-45m
13327,mobile,ended,-43.0,,retour en avance
13328,connect,ended,-8.0,,retour en avance
13329,mobile,ended,45.0,,31m-45m
13330,mobile,ended,-68.0,0.0,retour en avance
13331,mobile,ended,8.0,,1m-15m
13332,mobile,ended,,,>9h
13333,mobile,ended,-25.0,,retour en avance
13334,mobile,ended,,,>9h
13335,mobile,ended,-89.0,0.0,retour en avance
13336,mobile,ended,252.0,,4h-5h
13337,mobile,ended,41.0,,31m-45m
13338,connect,ended,78.0,60.0,1h-2h
13339,mobile,ended,,,>9h
13340,mobile,ended,71.0,,1h-2h
13341,mobile,ended,,,>9h
13342,connect,canceled,,,>9h
13343,connect,ended,,660.0,>9h
13344,mobile,ended,30.0,,16m-30m
13345,mobile,ended,959.0,,>9h
13346,mobile,ended,26.0,,16m-30m
13347,mobile,ended,136.0,,2h-3h
13348,mobile,ended,3.0,,1m-15m
13349,mobile,ended,-2.0,,retour en avance
13350,mobile,ended,5.0,,1m-15m
13351,mobile,ended,106.0,,1h-2h
13352,connect,canceled,,,>9h
13353,mobile,ended,46.0,,46m-60m
13354,mobile,ended,105.0,,1h-2h
13355,connect,canceled,,,>9h
13356,mobile,ended,9.0,,1m-15m
13357,mobile,ended,,,>9h
13358,mobile,ended,209.0,,3h-4h
13359,connect,ended,-51.0,,retour en avance
13360,mobile,ended,-1.0,,retour en avance
13361,mobile,ended,63.0,,1h-2h
13362,mobile,ended,-14.0,,retour en avance
13363,connect,ended,-39.0,660.0,retour en avance
13364,mobile,ended,1420.0,,>9h
13365,mobile,ended,11.0,,1m-15m
13366,connect,ended,180.0,,2h-3h
13367,mobile,canceled,,,>9h
13368,connect,ended,-13.0,120.0,retour en avance
13369,mobile,ended,16.0,,16m-30m
13370,connect,ended,-17.0,,retour en avance
13371,connect,ended,48.0,,46m-60m
13372,mobile,ended,-17.0,0.0,retour en avance
13373,mobile,ended,,,>9h
13374,mobile,ended,72.0,,1h-2h
13375,connect,canceled,,60.0,>9h
13376,mobile,ended,58.0,150.0,46m-60m
13377,mobile,ended,32.0,,31m-45m
13378,mobile,ended,6.0,,1m-15m
13379,mobile,ended,44.0,,31m-45m
13380,connect,ended,-89.0,,retour en avance
13381,connect,ended,-238.0,,retour en avance
13382,mobile,ended,164.0,,2h-3h
13383,connect,ended,-132.0,,retour en avance
13384,mobile,ended,,,>9h
13385,mobile,ended,109.0,,1h-2h
13386,connect,ended,4.0,,1m-15m
13387,mobile,canceled,,,>9h
13388,connect,ended,-500.0,,retour en avance
13389,mobile,ended,296.0,,4h-5h
13390,mobile,ended,,,>9h
13391,mobile,canceled,,,>9h
13392,mobile,ended,256.0,,4h-5h
13393,mobile,ended,114.0,,1h-2h
13394,mobile,ended,6.0,,1m-15m
13395,mobile,ended,23.0,,16m-30m
13396,mobile,ended,180.0,,2h-3h
13397,connect,ended,4.0,,1m-15m
13398,mobile,ended,,,>9h
13399,mobile,ended,-191.0,720.0,retour en avance
13400,mobile,ended,,,>9h
13401,mobile,ended,45.0,,31m-45m
13402,mobile,ended,68.0,,1h-2h
13403,mobile,ended,193.0,,3h-4h
13404,mobile,ended,-77.0,,retour en avance
13405,mobile,ended,162.0,,2h-3h
13406,mobile,canceled,,,>9h
13407,mobile,ended,1195.0,,>9h
13408,mobile,ended,-1.0,,retour en avance
13409,mobile,ended,20.0,,16m-30m
13410,connect,ended,-15.0,,retour en avance
13411,mobile,canceled,,60.0,>9h
13412,mobile,ended,-1.0,,retour en avance
13413,mobile,ended,189.0,,3h-4h
13414,mobile,ended,-494.0,,retour en avance
13415,connect,ended,-21.0,,retour en avance
13416,mobile,ended,-950.0,,retour en avance
13417,mobile,ended,-8.0,,retour en avance
13418,mobile,ended,,,>9h
13419,mobile,ended,524.0,,>9h
13420,connect,ended,54.0,60.0,46m-60m
13421,connect,ended,-116.0,,retour en avance
13422,mobile,ended,51.0,150.0,46m-60m
13423,mobile,canceled,,,>9h
13424,mobile,ended,79.0,,1h-2h
