,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
274,connect,ended,-692.0,,retour en avance
275,mobile,ended,195.0,,3h-4h
276,mobile,canceled,,,>9h
277,mobile,canceled,,,>9h
278,mobile,ended,-133.0,,retour en avance
279,mobile,ended,-22.0,,retour en avance
280,mobile,ended,201.0,,3h-4h
281,mobile,ended,21.0,,16m-30m
282,mobile,ended,-307.0,,retour en avance
283,mobile,ended,-40.0,,retour en avance
284,mobile,ended,225.0,60.0,3h-4h
285,mobile,canceled,,,>9h
286,mobile,ended,-37.0,,retour en avance
287,mobile,canceled,,,>9h
288,mobile,ended,-12.0,,retour en avance
289,mobile,ended,-11.0,,retour en avance
290,connect,ended,-26.0,,retour en avance
291,connect,ended,-49.0,,retour en avance
292,mobile,ended,381.0,,6h-7h
293,connect,ended,22.0,,16m-30m
294,mobile,ended,144.0,,2h-3h
295,mobile,ended,69.0,,1h-2h
296,mobile,ended,19.0,,16m-30m
297,mobile,ended,10.0,,1m-15m
298,mobile,ended,-5.0,,retour en avance
299,connect,ended,-127.0,,retour en avance
300,mobile,ended,-158.0,,retour en avance
301,connect,ended,54.0,,46m-60m
302,mobile,ended,3.0,,1m-15m
303,mobile,ended,201.0,,3h-4h
304,mobile,ended,167.0,,2h-3h
305,mobile,ended,,,>9h
306,mobile,ended,-136.0,,retour en avance
307,mobile,ended,-158.0,,retour en avance
308,mobile,ended,20.0,,16m-30m
309,connect,ended,-7.0,,retour en avance
310,mobile,ended,-15.0,,retour en avance
311,mobile,ended,-127.0,60.0,retour en avance
312,mobile,ended,82.0,,1h-2h
313,connect,ended,37.0,,31m-45m
314,mobile,ended,0.0,,0
315,mobile,ended,,120.0,>9h
316,connect,ended,-41.0,,retour en avance
317,connect,ended,-25.0,,retour en avance
318,mobile,canceled,,,>9h
319,mobile,ended,-1283.0,,retour en avance
320,mobile,ended,40.0,,31m-45m
321,connect,ended,-22.0,180.0,retour en avance
322,mobile,ended,211.0,,3h-4h
323,mobile,ended,97.0,,1h-2h
324,connect,ended,16.0,,16m-30m
325,mobile,ended,536.0,,>9h
326,mobile,ended,159.0,,2h-3h
327,mobile,ended,,,>9h
328,mobile,ended,-7.0,,retour en avance
329,connect,ended,34.0,,31m-45m
330,mobile,ended,203.0,,3h-4h
331,mobile,ended,,,>9h
332,mobile,ended,275.0,,4h-5h
333,mobile,canceled,,,>9h
334,mobile,ended,-193.0,,retour en avance
335,mobile,ended,,,>9h
336,mobile,ended,11.0,,1m-15m
337,mobile,ended,91.0,,1h-2h
338,mobile,ended,23.0,,16m-30m
339,connect,ended,4.0,,1m-15m
340,mobile,ended,-28.0,,retour en avance
341,mobile,canceled,,,>9h
342,connect,ended,23.0,0.0,16m-30m
343,mobile,ended,-965.0,0.0,retour en avance
344,mobile,ended,6.0,,1m-15m
345,connect,ended,-102.0,30.0,retour en avance
346,mobile,ended,-232.0,,retour en avance
347,connect,ended,-22.0,,retour en avance
348,mobile,ended,322.0,,5h-6h
349,mobile,ended,31.0,,31m-45m
350,mobile,ended,63.0,,1h-2h
351,mobile,ended,10.0,,1m-15m
352,connect,ended,40.0,,31m-45m
353,mobile,ended,20.0,,16m-30m
354,mobile,ended,,,>9h
355,mobile,ended,5.0,,1m-15m
356,mobile,ended,,,>9h
357,mobile,ended,7.0,,1m-15m
358,mobile,ended,-1.0,,retour en avance
359,mobile,ended,24.0,150.0,16m-30m
360,mobile,ended,170.0,,2h-3h
361,connect,ended,-20.0,,retour en avance
362,mobile,ended,-3.0,,retour en avance
363,mobile,ended,-36.0,,retour en avance
364,connect,ended,-29.0,,retour en avance
365,mobile,ended,1.0,,1m-15m
366,connect,ended,11.0,,1m-15m
367,mobile,canceled,,,>9h
368,mobile,ended,-148.0,,retour en avance
369,mobile,ended,,,>9h
370,mobile,ended,37.0,,31m-45m
371,connect,ended,-37.0,,retour en avance
372,mobile,ended,358.0,,5h-6h
373,mobile,ended,-5.0,,retour en avance
374,mobile,canceled,,,>9h
